source,target,population,weight
LS,st,1900000,0.98000
LS,en,530000,0.27000
LS,zu,270000,0.14000
LS,ss,47000,0.02400
LS,xh,20000,0.01000
LR,en,4000000,0.83000
LR,kpe,670000,0.14000
LR,vai,130000,0.02600
LR,men,23000,0.00480
LY,ar,5000000,0.74000
LI,de,39000,1.00000
LI,gsw,33000,0.85000
LI,wae,1300,0.03400
LT,lt,2400000,0.86000
LT,ru,2200000,0.80000
LT,en,1100000,0.38000
LT,de,390000,0.14000
LU,fr,530000,0.87000
LU,lb,410000,0.67000
LU,de,380000,0.63000
LU,en,340000,0.56000
LU,pt,97000,0.16000
MO,zh_Hant,590000,0.98000
MO,pt,30000,0.05000
MO,zh,30000,0.05000
MO,en,14000,0.02300
MG,mg,23000000,0.90000
MG,fr,18000000,0.69000
MG,en,4600000,0.18000
MW,en,13000000,0.63000
MW,ny,13000000,0.63000
MW,tum,1700000,0.08400
MW,tog,190000,0.00980
MW,zu,65000,0.00330
MY,ms,24000000,0.75000
MY,en,6700000,0.21000
MY,zh_Hant,5400000,0.17000
MY,ta,1300000,0.04200
MY,iba,800000,0.02500
MY,jv,380000,0.01200
MY,zmi,380000,0.01200
MY,dtp,180000,0.00560
MY,ml,48000,0.00150
MY,bug,25000,0.00079
MY,bjn,5100,0.00016
MV,dv,370000,0.94000
ML,bm,8500000,0.46000
ML,fr,8500000,0.46000
ML,ffm,1400000,0.07700
ML,snk,1100000,0.05900
ML,mwk,920000,0.05000
ML,ses,630000,0.03400
ML,tmh,390000,0.02100
ML,bm_Nkoo,370000,0.02000
ML,khq,310000,0.01700
ML,dtm,200000,0.01100
ML,kao,180000,0.01000
ML,ar,160000,0.00890
ML,bmq,160000,0.00860
ML,bze,150000,0.00840
MT,mt,450000,1.00000
MT,en,400000,0.88000
MT,it,250000,0.56000
MT,fr,49000,0.11000
MH,en,70000,0.93000
MH,mh,55000,0.73000
MQ,fr,430000,0.98000
MR,ar,3300000,0.85000
MR,fr,650000,0.17000
MR,ff,220000,0.05700
MR,wo,10000,0.00260
MU,mfe,1200000,0.90000
MU,en,980000,0.72000
MU,bho,370000,0.27000
MU,ur,71000,0.05200
MU,fr,41000,0.03000
MU,ta,34000,0.02500
YT,swb,170000,0.88000
YT,fr,110000,0.57000
YT,buc,45000,0.23000
YT,sw,2700,0.01400
MX,es,100000000,0.83000
MX,en,16000000,0.13000
MX,yua,840000,0.00670
MX,nhe,490000,0.00390
MX,nhw,490000,0.00390
MX,maz,430000,0.00340
MX,nch,240000,0.00190
MX,sei,880,0.00001
FM,en,59000,0.57000
FM,chk,31000,0.30000
FM,pon,24000,0.23000
FM,kos,8000,0.07700
FM,yap,6600,0.06400
FM,uli,3000,0.02900
MD,ro,2200000,0.63000
MD,uk,480000,0.14000
MD,bg,320000,0.09400
MD,gag,110000,0.03300
MD,ru,100000,0.03000
MC,fr,30000,0.99000
MN,mn,2900000,0.93000
MN,kk_Arab,220000,0.07200
MN,zh,43000,0.01400
MN,ru,4000,0.00130
MN,ug_Cyrl,990,0.00032
ME,sr_Latn,610000,1.00000
ME,sq,49000,0.07900
ME,sr,31000,0.05000
MS,en,3500,0.66000
MA,ary,30000000,0.87000
MA,ar,21000000,0.62000
MA,zgh,7500000,0.22000
MA,fr,6900000,0.20000
MA,en,4800000,0.14000
MA,tzm,3400000,0.09800
MA,shi,3000000,0.08700
MA,shi_Latn,3000000,0.08700
MA,rif,1700000,0.04900
MA,rif_Latn,1700000,0.04900
MA,es,22000,0.00065
MZ,pt,7400000,0.27000
MZ,vmw,3500000,0.13000
MZ,ndc,2700000,0.09900
MZ,ts,2200000,0.07900
MZ,ngl,1900000,0.06800
MZ,seh,1300000,0.04600
MZ,mgh,1200000,0.04500
MZ,rng,930000,0.03400
MZ,ny,710000,0.02600
MZ,yao,650000,0.02400
MZ,sw,9300,0.00034
MZ,zu,1800,0.00007
MM,my,36000000,0.64000
MM,shn,3600000,0.06400
MM,kac,950000,0.01700
MM,mnw,830000,0.01500
MM,kht,4200,0.00008
NA,af,1900000,0.75000
NA,kj,890000,0.35000
NA,ng,530000,0.21000
NA,naq,280000,0.11000
NA,hz,230000,0.09100
NA,en,180000,0.07000
NA,de,23000,0.00900
NA,tn,14000,0.00560
NR,en,9400,0.97000
NR,na,6900,0.71000
NP,ne,13000000,0.44000
NP,mai,3300000,0.11000
NP,bho,2000000,0.06800
NP,taj,1000000,0.03400
NP,new,980000,0.03300
NP,jml,950000,0.03200
NP,en,890000,0.03000
NP,dty,740000,0.02500
NP,awa,650000,0.02200
NP,thl,590000,0.02000
NP,bap,450000,0.01500
NP,tdg,390000,0.01300
NP,thr,360000,0.01200
NP,lif,330000,0.01100
NP,mgp,330000,0.01100
NP,thq,300000,0.01000
NP,mrd,250000,0.00830
NP,gvr,210000,0.00710
NP,bfy,160000,0.00540
NP,xsr,150000,0.00520
NP,rjs,130000,0.00440
NP,hi,120000,0.00420
NP,bo,71000,0.00240
NP,tkt,71000,0.00240
NP,tdh,36000,0.00120
NP,bn,28000,0.00094
NP,unr_Deva,5600,0.00019
NP,lep,2800,0.00010
NL,nl,17000000,1.00000
NL,en,15000000,0.90000
NL,de,12000000,0.71000
NL,fr,5000000,0.29000
NL,nds,1900000,0.11000
NL,li,940000,0.05500
NL,fy,740000,0.04300
NL,gos,620000,0.03600
NL,id,310000,0.01800
NL,zea,240000,0.01400
NL,rif_Latn,210000,0.01200
NL,tr,210000,0.01200
NC,fr,270000,0.96000
NZ,en,4500000,0.98000
NZ,mi,130000,0.02800
NI,es,4700000,0.78000
NE,ha,8100000,0.41000
NE,fr,5800000,0.29000
NE,dje,3400000,0.17000
NE,fuq,1400000,0.07000
NE,tmh,1200000,0.06000
NE,ar,42000,0.00210
NE,twq,7900,0.00040
NG,en,110000000,0.53000
NG,pcm,43000000,0.21000
NG,ha,26000000,0.13000
NG,ig,26000000,0.13000
NG,yo,26000000,0.13000
NG,fuv,14000000,0.06700
NG,tiv,3300000,0.01600
NG,efi,2800000,0.01400
NG,ibb,2800000,0.01400
NG,ha_Arab,2000000,0.01000
NG,bin,1400000,0.00710
NG,kaj,430000,0.00210
NG,kcg,190000,0.00093
NG,ar,140000,0.00071
NG,cch,43000,0.00021
NG,amo,18000,0.00009
NU,en,1100,0.70000
NU,niu,1100,0.70000
NF,en,1700,0.96000
KP,ko,22000000,0.88000
MK,mk,1400000,0.67000
MK,sq,530000,0.25000
MK,tr,74000,0.03500
MP,en,50000,0.97000
MP,ch,9400,0.18000
NO,nb,5400000,1.00000
NO,nn,1300000,0.25000
NO,se,16000,0.00290
OM,ar,2800000,0.81000
OM,bal,170000,0.04900
OM,fa,33000,0.00940
PK,ur,200000000,0.95000
PK,pa_Arab,150000000,0.70000
PK,en,100000000,0.50000
PK,lah,83000000,0.40000
PK,ps,31000000,0.15000
PK,sd,25000000,0.12000
PK,skr,19000000,0.09100
PK,bal,7700000,0.03700
PK,brh,2700000,0.01300
PK,hno,2500000,0.01200
PK,fa,1400000,0.00660
PK,bgn,1200000,0.00570
PK,hnd,850000,0.00410
PK,tg_Arab,690000,0.00330
PK,gju,420000,0.00200
PK,bft,370000,0.00180
PK,kvx,330000,0.00160
PK,khw,310000,0.00150
PK,mvy,290000,0.00140
PK,kxp,250000,0.00120
PK,gjk,230000,0.00110
PK,ks,140000,0.00069
PK,btv,39000,0.00019
PW,pau,16000,0.74000
PW,en,1900,0.08700
PA,es,2600000,0.69000
PA,en,530000,0.14000
PA,zh_Hant,6100,0.00160
PG,tpi,5000000,0.71000
PG,en,3500000,0.50000
PG,ho,150000,0.02100
PY,gn,5600000,0.80000
PY,es,220000,0.03200
PY,de,200000,0.02900
PE,es,23000000,0.73000
PE,qu,4700000,0.15000
PE,ay,500000,0.01600
PH,en,68000000,0.64000
PH,fil,64000000,0.60000
PH,es,33000000,0.31000
PH,ceb,25000000,0.24000
PH,ilo,10000000,0.09600
PH,hil,8900000,0.08400
PH,bik,3200000,0.03000
PH,war,3100000,0.02900
PH,bhk,2400000,0.02300
PH,pam,2400000,0.02300
PH,pag,1500000,0.01400
PH,mdh,1300000,0.01200
PH,tsg,1200000,0.01100
PH,zh_Hant,770000,0.00730
PH,cps,700000,0.00660
PH,krj,410000,0.00390
PH,bto,300000,0.00280
PH,hnn,17000,0.00016
PH,tbw,10000,0.00009
PH,bku,8000,0.00008
PN,en,46,0.85000
PL,pl,37000000,0.96000
PL,en,13000000,0.33000
PL,de,7300000,0.19000
PL,ru,6900000,0.18000
PL,szl,500000,0.01300
PL,be,220000,0.00580
PL,uk,150000,0.00390
PL,csb,50000,0.00130
PL,sli,12000,0.00031
PL,lt,8100,0.00021
PT,pt,9900000,0.96000
PT,en,2800000,0.27000
PT,fr,1600000,0.15000
PT,es,1000000,0.10000
PT,gl,14000,0.00140
PR,es,2900000,0.87000
PR,en,1600000,0.49000
QA,ar,2100000,0.89000
QA,fa,260000,0.11000
QA,ml,6600,0.00280
RE,fr,700000,0.89000
RE,rcf,560000,0.71000
RE,ta,120000,0.15000
RO,ro,19000000,0.90000
RO,en,6700000,0.31000
RO,fr,3600000,0.17000
RO,es,2100000,0.10000
RO,hu,1400000,0.06600
RO,de,45000,0.00210
RO,tr,28000,0.00130
RO,sr_Latn,26000,0.00120
RO,bg,6700,0.00031
RO,el,4100,0.00019
RO,pl,2800,0.00013
RU,ru,130000000,0.94000
RU,tt,2000000,0.01400
RU,ba,1800000,0.01300
RU,cv,1800000,0.01300
RU,hy,1200000,0.00840
RU,ce,940000,0.00660
RU,av,550000,0.00390
RU,udm,540000,0.00380
RU,chm,530000,0.00370
RU,os,450000,0.00320
RU,sah,450000,0.00320
RU,kbd,440000,0.00310
RU,myv,440000,0.00310
RU,dar,370000,0.00260
RU,bua,310000,0.00220
RU,mdf,300000,0.00210
RU,kum,280000,0.00200
RU,kv,260000,0.00180
RU,lez,260000,0.00180
RU,krc,240000,0.00170
RU,inh,230000,0.00160
RU,tyv,180000,0.00130
RU,az_Cyrl,130000,0.00093
RU,ady,130000,0.00088
RU,krl,120000,0.00082
RU,lbe,110000,0.00078
RU,koi,64000,0.00045
RU,mrj,30000,0.00021
RU,alt,20000,0.00014
RU,fi,17000,0.00012
RU,sr_Latn,5000,0.00004
RU,vep,3600,0.00003
RU,mn,2100,0.00002
RW,rw,9400000,0.77000
RW,en,1800000,0.15000
RW,fr,2300,0.00019
WS,sm,200000,1.00000
WS,en,4400,0.02200
SM,it,30000,0.89000
SM,eo,300,0.00890
ST,pt,170000,0.85000
SA,ar,33000000,1.00000
SN,wo,11000000,0.70000
SN,fr,5900000,0.39000
SN,ff,3200000,0.21000
SN,srr,1700000,0.11000
SN,dyo,390000,0.02600
SN,sav,230000,0.01500
SN,mfv,120000,0.00770
SN,bjt,92000,0.00610
SN,snf,36000,0.00240
SN,knf,32000,0.00210
SN,bsc,15000,0.00097
SN,mey,7200,0.00048
SN,tnr,3500,0.00023
RS,sr,7000000,0.99000
RS,sr_Latn,7000000,0.99000
RS,sq,1300000,0.19000
RS,hu,340000,0.04800
RS,ro,150000,0.02100
RS,hr,66000,0.00930
RS,sk,61000,0.00860
SC,crs,93000,0.98000
SC,fr,57000,0.60000
SC,en,36000,0.38000
SL,kri,6000000,0.95000
SL,en,2200000,0.35000
SL,men,1700000,0.27000
SL,tem,1600000,0.26000
SG,en,5600000,0.93000
SG,zh,4600000,0.77000
SG,ms,840000,0.14000
SG,ta,130000,0.02100
SG,ml,10000,0.00170
SG,pa,9600,0.00160
SX,en,29000,0.68000
SX,es,4700,0.11000
SX,vic,3100,0.07300
SX,nl,1600,0.03700
SK,sk,4900000,0.90000
SK,cs,2600000,0.47000
SK,en,1400000,0.26000
SK,de,1200000,0.22000
SK,hu,600000,0.11000
SK,uk,100000,0.01900
SK,pl,51000,0.00930
SI,sl,1800000,0.87000
SI,hr,1300000,0.61000
SI,en,1200000,0.59000
SI,de,880000,0.42000
SI,hu,9200,0.00440
SI,it,4000,0.00190
SB,en,660000,1.00000
SB,rug,9900,0.01500
SO,so,8800000,0.78000
SO,ar,3800000,0.34000
SO,sw,230000,0.02000
SO,om,47000,0.00420
ZA,en,17000000,0.31000
ZA,zu,13000000,0.24000
ZA,xh,10000000,0.18000
ZA,af,7200000,0.13000
ZA,nso,5200000,0.09400
ZA,tn,4500000,0.08200
ZA,st,4400000,0.07900
ZA,ts,2400000,0.04400
ZA,ss,1500000,0.02700
ZA,ve,1300000,0.02300
ZA,hi,1100000,0.02000
ZA,nr,890000,0.01600
ZA,sw,1000,0.00002
GS,und,20,1.00000
KR,ko,51000000,1.00000
SS,ar,2800000,0.27000
SS,en,2800000,0.27000
SS,nus,570000,0.05600
ES,es,49000000,0.99000
ES,en,12000000,0.24000
ES,ca,8400000,0.17000
ES,gl,3500000,0.07000
ES,eu,990000,0.02000
ES,ast,640000,0.01300
ES,ext,240000,0.00490
LK,si,15000000,0.68000
LK,ta,3400000,0.15000
LK,en,2300000,0.10000
BL,fr,6900,0.96000
SH,en,5400,0.69000
KN,en,52000,0.98000
LC,en,150000,0.90000
MF,fr,32000,1.00000
PM,fr,5100,0.93000
PM,en,190,0.03400
VC,en,98000,0.96000
SD,ar,26000000,0.61000
SD,en,26000000,0.61000
SD,bej,2300000,0.05400
SD,fvr,1200000,0.02700
SD,ha_Arab,780000,0.01800
SD,mls,430000,0.00990
SD,fia,360000,0.00830
SD,zag,220000,0.00510
SR,nl,540000,0.90000
SR,srn,410000,0.68000
SR,zh_Hant,7200,0.01200
SJ,nb,1500,0.58000
SJ,ru,1200,0.46000
SE,sv,9500000,0.95000
SE,en,8600000,0.86000
SE,fi,220000,0.02200
SE,fit,55000,0.00550
SE,se,33000,0.00330
SE,rmu,9500,0.00095
SE,yi,3000,0.00030
SE,smj,1500,0.00015
SE,sma,300,0.00003
CH,de,6100000,0.73000
CH,gsw,5400000,0.65000
CH,en,5100000,0.61000
CH,fr,1700000,0.21000
CH,it,360000,0.04300
CH,lmo,340000,0.04100
CH,pt,280000,0.03400
CH,rm,41000,0.00500
CH,rmo,24000,0.00290
CH,wae,10000,0.00120
SY,ar,16000000,0.80000
SY,ku,1600000,0.08000
SY,fr,1100000,0.05900
SY,hy,350000,0.01800
SY,syr,16000,0.00084
TW,zh_Hant,22000000,0.95000
TW,trv,4700,0.00020
TJ,tg,8600000,1.00000
TJ,ru,1000000,0.12000
TJ,fa,67000,0.00780
TJ,ar,1000,0.00012
TZ,sw,50000000,0.90000
TZ,en,38000000,0.69000
TZ,suk,4800000,0.08700
TZ,nym,1800000,0.03300
TZ,kde,1300000,0.02400
TZ,bez,940000,0.01700
TZ,ksb,940000,0.01700
TZ,mas,830000,0.01500
TZ,mgy,780000,0.01400
TZ,asa,670000,0.01200
TZ,lag,480000,0.00870
TZ,jmc,420000,0.00750
TZ,rof,420000,0.00750
TZ,vun,420000,0.00750
TZ,rwk,120000,0.00220
TZ,sbp,110000,0.00200
TH,th,55000000,0.80000
TH,en,19000000,0.27000
TH,tts,16000000,0.24000
TH,nod,6600000,0.09600
TH,sou,5500000,0.08000
TH,mfa,3400000,0.05000
TH,zh_Hant,1200000,0.01800
TH,kxm,1200000,0.01700
TH,kdt,330000,0.00480
TH,mnw,120000,0.00170
TH,shn,66000,0.00096
TH,lcp,6900,0.00010
TH,lwl,6900,0.00010
TL,pt,780000,0.59000
TL,tet,780000,0.59000
TG,fr,5000000,0.61000
TG,ee,1400000,0.17000
TG,ife,110000,0.01300
TK,en,1300,1.00000
TK,tkl,1300,1.00000
TO,to,100000,0.95000
TO,en,30000,0.28000
TT,en,1100000,0.88000
TT,es,4100,0.00340
TA,en,270,0.99000
TN,aeb,10000000,0.90000
TN,ar,10000000,0.90000
TN,fr,8500000,0.74000
TR,tr,76000000,0.93000
TR,en,14000000,0.17000
TR,ku,4500000,0.05500
TR,zza,1100000,0.01400
TR,kbd,630000,0.00770
TR,az,600000,0.00740
TR,az_Arab,530000,0.00650
TR,ar,460000,0.00560
TR,bgx,370000,0.00460
TR,bg,340000,0.00420
TR,ady,320000,0.00390
TR,kiu,150000,0.00190
TR,hy,46000,0.00056
TR,ka,46000,0.00056
TR,lzz,23000,0.00028
TR,sr_Latn,23000,0.00028
TR,sq,17000,0.00021
TR,ab,4000,0.00005
TR,el,4000,0.00005
TR,tru,3000,0.00004
TR,uz,2000,0.00002
TR,ky_Latn,1100,0.00001
TR,kk,570,0.00001
TM,tk,3800000,0.70000
TM,ru,650000,0.12000
TM,uz,490000,0.09000
TM,ku,22000,0.00410
TC,en,53000,0.98000
TV,tvl,9900,0.89000
TV,en,1100,0.09600
UM,en,320,1.00000
VI,en,80000,0.75000
UG,sw,31000000,0.75000
UG,lg,5300000,0.13000
UG,nyn,2600000,0.06300
UG,cgg,2200000,0.05400
UG,xog,2200000,0.05300
UG,en,1600000,0.03900
UG,teo,1600000,0.03900
UG,laj,1600000,0.03800
UG,ach,1500000,0.03700
UG,myx,1200000,0.02900
UG,rw,860000,0.02100
UG,ttj,780000,0.01900
UG,hi,2200,0.00005
UA,uk,29000000,0.65000
UA,ru,20000000,0.46000
UA,pl,1100000,0.02400
UA,yi,570000,0.01300
UA,rue,530000,0.01200
UA,be,360000,0.00830
UA,crh,250000,0.00560
UA,ro,230000,0.00520
UA,bg,220000,0.00490
UA,tr,180000,0.00420
UA,hu,160000,0.00370
UA,el,7000,0.00016
AE,ar,7600000,0.78000
AE,en,4900000,0.50000
AE,ml,680000,0.07000
AE,ps,280000,0.02900
AE,bal,220000,0.02300
AE,fa,180000,0.01900
GB,en,64000000,0.99000
GB,fr,12000000,0.19000
GB,de,3900000,0.06000
GB,sco,1800000,0.02700
GB,pa,510000,0.00790
GB,cy,500000,0.00770
GB,bn,440000,0.00670
GB,zh_Hant,350000,0.00540
GB,syl,330000,0.00500
GB,el,220000,0.00340
GB,it,220000,0.00340
GB,ks,120000,0.00190
GB,gd,64000,0.00099
GB,yi,32000,0.00049
GB,ml,23000,0.00035
GB,ga,17000,0.00026
GB,kw,2000,0.00003
US,en,320000000,0.96000
US,es,32000000,0.09600
US,zh_Hant,2300000,0.00690
US,fr,1800000,0.00560
US,de,1500000,0.00470
US,fil,1400000,0.00420
US,it,1100000,0.00340
US,vi,1100000,0.00340
US,ko,990000,0.00300
US,ru,790000,0.00240
US,nv,170000,0.00051
US,yi,160000,0.00049
US,pdc,130000,0.00039
US,haw,29000,0.00009
US,frc,28000,0.00009
US,chr,25000,0.00008
US,esu,20000,0.00006
US,dak,19000,0.00006
US,cho,11000,0.00003
US,lkt,8200,0.00003
US,ik,7900,0.00002
US,mus,4000,0.00001
UY,es,3000000,0.88000
UZ,uz,26000000,0.85000
UZ,uz_Cyrl,4500000,0.15000
UZ,ru,4200000,0.14000
UZ,kaa,480000,0.01600
UZ,tr,230000,0.00760
VU,bi,260000,0.90000
VU,en,240000,0.83000
VU,fr,140000,0.50000
VA,it,820,0.82000
VA,la,820,0.82000
VE,es,26000000,0.82000
VN,vi,83000000,0.86000
VN,zh_Hant,1100000,0.01100
VN,cjm,86000,0.00089
WF,wls,9500,0.60000
WF,fr,7600,0.48000
WF,fud,4900,0.31000
EH,ar,620000,1.00000
YE,ar,21000000,0.74000
YE,en,2600000,0.09000
ZM,bem,5100000,0.31000
ZM,en,2600000,0.16000
ZM,ny,2500000,0.15000
ZM,loz,990000,0.06000
ZW,sn,11000000,0.81000
ZW,en,5900000,0.42000
ZW,nd,1700000,0.12000
ZW,mxc,910000,0.06500
ZW,ndc,860000,0.06100
ZW,kck,740000,0.05300
ZW,ny,270000,0.01900
ZW,ve,90000,0.00640
ZW,tn,31000,0.00220
